"Kategorie";"Schwierigkeit";"Frage";"Antwort"
"Geographie & Natur";"Leicht";"Wie viele Ozeane gibt es auf der Erde?";5
"Geographie & Natur";"Leicht";"Wie viele Kontinente gibt es?";7
"Geographie & Natur";"Leicht";"Wie viele Farben hat ein Regenbogen?";7
"Geographie & Natur";"Leicht";"Wie viele Beine hat eine Spinne?";8
"Geographie & Natur";"Leicht";"Wie viele Bundesländer hat Deutschland?";16
"Geographie & Natur";"Leicht";"Wie viele Planeten hat unser Sonnensystem?";8
"Geographie & Natur";"Leicht";"Wie viele Zwergplaneten sind offiziell anerkannt?";5
"Geographie & Natur";"Leicht";"Wie viele Finger hat eine menschliche Hand?";5
"Geographie & Natur";"Leicht";"Wie viele Flügel hat ein Schmetterling?";4
"Geographie & Natur";"Leicht";"Wie viele Herzen hat ein Oktopus?";3
"Geographie & Natur";"Leicht";"Wie viele Jahreszeiten gibt es?";4
"Geographie & Natur";"Leicht";"Wie viele Himmelsrichtungen gibt es?";4
"Geographie & Natur";"Leicht";"Wie viele Pole hat die Erde?";2
"Geographie & Natur";"Leicht";"Wie viele Beine hat ein Insekt?";6
"Geographie & Natur";"Leicht";"Wie viele Zacken hat ein Seestern typischerweise?";5
"Geographie & Natur";"Leicht";"Wie viele Monde hat die Erde?";1
"Geographie & Natur";"Leicht";"Wie viele Ozeane berühren Nordamerika?";3
"Geographie & Natur";"Leicht";"Wie viele Seiten hat ein Würfel?";6
"Geographie & Natur";"Leicht";"Wie viele Beine hat ein Tausendfüßler ungefähr?";750
"Geographie & Natur";"Leicht";"Wie viele Höcker hat ein Dromedar?";1
"Geographie & Natur";"Mittel";"Wie viele Nachbarländer hat Deutschland?";9
"Geographie & Natur";"Mittel";"Wie viele Zeitzonen gibt es in Russland?";11
"Geographie & Natur";"Mittel";"Wie viele Meter hoch ist die Zugspitze ungefähr?";2962
"Geographie & Natur";"Mittel";"Wie viele anerkannte unabhängige Staaten gibt es in Afrika (Stand 2023)?";54
"Geographie & Natur";"Mittel";"Wie viele Hauptinseln hat Japan?";4
"Geographie & Natur";"Mittel";"Wie viele US-Bundesstaaten gibt es?";50
"Geographie & Natur";"Mittel";"Wie viele große Seen (Great Lakes) gibt es in Nordamerika?";5
"Geographie & Natur";"Mittel";"Wie viele Wirbel hat die menschliche Wirbelsäule?";33
"Geographie & Natur";"Mittel";"Wie viele anerkannte Hunderassen gibt es weltweit ungefähr?";340
"Geographie & Natur";"Mittel";"Wie viele Kantone hat die Schweiz?";26
"Geographie & Natur";"Mittel";"Wie viele Kilometer lang ist der Rhein ungefähr?";1233
"Geographie & Natur";"Mittel";"Wie viele Menschen leben in Deutschland (in Millionen)?";83
"Geographie & Natur";"Mittel";"Wie viele Zähne hat ein Hai ungefähr?";3000
"Geographie & Natur";"Mittel";"Wie viele Liter Wasser kann ein Kamel auf einmal trinken?";100
"Geographie & Natur";"Mittel";"Wie viele Eier legt eine Henne pro Jahr im Durchschnitt?";250
"Geographie & Natur";"Schwer";"Wie viele Kilometer lang ist der Äquator ungefähr?";40075
"Geographie & Natur";"Schwer";"Wie viele Inseln gehören zu Griechenland (geschätzt)?";3000
"Geographie & Natur";"Schwer";"In welchem Jahr wurde der Panamakanal eröffnet?";1914
"Geographie & Natur";"Schwer";"Wie viele aktive Vulkane gibt es auf der Erde ungefähr?";1500
"Geographie & Natur";"Schwer";"Wie viele Liter Wasser enthält ein olympisches Schwimmbecken (in Millionen)?";2
"Geographie & Natur";"Schwer";"Wie viele Länder durchfließt die Donau?";10
"Geographie & Natur";"Schwer";"Wie viele Meter tief ist die tiefste Stelle der Welt, der Marianengraben, ungefähr?";11000
"Geographie & Natur";"Schwer";"Wie viele Menschen leben in Tokio (in Millionen, Stand 2023)?";37
"Geographie & Natur";"Schwer";"Wie viele Quadratkilometer ist die Sahara groß (in Millionen)?";9
"Geographie & Natur";"Schwer";"Wie viele bekannte Arten von Dinosauriern gibt es ungefähr?";700
"Geographie & Natur";"Schwer";"Wie viele Jahre dauert es, bis das Licht von der Sonne die Erde erreicht (in Minuten)?";8
"Geographie & Natur";"Schwer";"Wie viele Galaxien gibt es im beobachtbaren Universum (in Milliarden)?";200
"Geschichte & Politik";"Leicht";"In welchem Jahr begann der Zweite Weltkrieg?";1939
"Geschichte & Politik";"Leicht";"Wie viele amerikanische Kolonien erklärten 1776 ihre Unabhängigkeit?";13
"Geschichte & Politik";"Leicht";"Wie viele Thesen schlug Martin Luther an die Kirchentür zu Wittenberg?";95
"Geschichte & Politik";"Leicht";"Wie viele Jahre dauerte der Dreißigjährige Krieg?";30
"Geschichte & Politik";"Leicht";"In welchem Jahr fiel die Berliner Mauer?";1989
"Geschichte & Politik";"Leicht";"Wie viele Weltkriege gab es?";2
"Geschichte & Politik";"Leicht";"Wie viele Pyramiden von Gizeh gibt es?";3
"Geschichte & Politik";"Leicht";"Wie viele Frauen hatte Henry VIII. insgesamt?";6
